comment_id,author,text,like_count,reply_count,published_at,relevance_score
UgxNfiUOCj7C1QJZUN54AaABAg,@Oscar-nw6ko,Raul tiene muchisima carisma hagan lo que sea y yo me lo trago,90,2,2026-05-17 20:31:41+00:00,94
Ugwy_8qN98bOsAb0SAR4AaABAg,@Trecegamer13,"Ideas:<br>- Como montar y configurar un doble PC o PC+Consola con un sólo monitor<br>- &quot;Movilidad gaming&quot; La mejor opción en sobremesa para llevar cuando viajas mucho y no quieres portátil<br>- Directos en stream para dudas y preguntas<br>- Soluciones de subs. Los cacharros que usa la gente y como usa sus PC/Setup<br>- En una quedada, hacer compiticiones de ensamblaje de PC con arranque incluido<br>- Hacer una quedada/Lan party para todos los frikis que nos pongamos cara<br>- Redes, la gente se pierde a la hora de montar una red y que los equipos se vean y compartan imprresoras<br>- El día del sub: una vez cada x tiempo, llevar a un sub (se costea su viaje, sin historias), y enseña su PC, pq está así confugrado, como eligió las piezas, etc<br>-...<br><br>Cualquiera de las que planteáis nos encantará verla también ^_^",48,2,2026-05-17 20:31:39+00:00,52
Ugy2S-wty8KNtCyNPw94AaABAg,@CanaldeYoutubeCanal-h4y,"Me molaron los de workstations, y de esos no hay muchos por internet.",25,0,2026-05-17 19:02:34+00:00,25
UgzdmQEUkAz19zPcosx4AaABAg,@Alucardgamer666,Podéis aconsejar y enseñar periféricos de las marcas más desconocidas y la valoración. Pantallas curvas ratones cascos. Etc porque hoy en día tenemos muchas marcas. Un saludo,17,0,2026-05-17 19:02:32+00:00,17
UgzMxEh15S9tpBv9JSF4AaABAg,@luispatronsalas6531,"¿Qué tal una idea de video hablando detalladamente sobre la fatiga visual-confort visual en monitores y qué tipo de monitores es mejor para uso prolongado? (Por tipo de panel: VA-IPS etc, cantidad de hz y resolucion, ppi, profundidad de bits de color del monitor, luz azul, etc) es un tema poco hablado, almenos en youtube de habla hispana.",12,0,2026-05-18 05:54:16+00:00,12
UgwaKwcN0eHYUVtGYfZ4AaABAg,@almacreativamultimedia,"pues mira, yo me enganche a vuestro canal porque sois el único, o al menos el único que conozco que habla de equipos para el sector profesional y workstations. ese es el punto diferenciador de vuestro canal y, desde luego que hace falta un canal así, para que, como mínimo los usuarios que utilizamos el pc para trabajar, tengamos unas referencias. porque YouTube, a día de hoy, es echar mierda a Microsoft, que Linux es maravilloso, y que todo el mundo es gamer. a partir de aquí, podéis hacer el contenido que deseeis. pero yo os recomendaría que no perdierais esa esencia. quizá como idea de contenido sería traer al canal equipos para trabajo no tan bestias como los que hemos visto, (que en vez de 10.000 €, pues sean de 1500€), gabinetes que sean orientados a oficina, pero que tengan cierta gracia, como que tengan toques a madera o cosas así, accesorios como unidades ópticas, no se, pivotar hacia el nicho de mercado del pc para trabajo.",7,0,2026-05-17 19:57:59+00:00,7
UgxMwIvTeQHoWPMFHH94AaABAg,@PcloveGames,"Yo lo único que entiendo y que comprendo es que me gusta veros, sea lo que sea que terminéis decidiendo seguir haciendo de contenido, lo seguiré viendo, Raúl, eres un crack. ❤ Los fieles vamos a veros hasta cualquier cosa mínima que queráis subir! Es que me parecen bien todas las ideas sinceramente. Eso si, por cierto, lo que mas me ha molado en realidad es la idea de coger y irte a donde cristo perdió el mechero y ver que cositas se pueden hacer a dia de hoy.",7,0,2026-05-17 18:58:40+00:00,7
UgzRAe9pPfyFr2DYFPt4AaABAg,@AnsiaobscuraBG3,Yo estoy en este canal por Raúl pastor!!!! Aguanteeee rauuuuuul,6,0,2026-05-17 23:25:30+00:00,6
UgwOyAAZ1W-_chlPLvl4AaABAg,@beykher,Demen el canal a mi asi no pierden dinero🥀,6,0,2026-05-17 18:51:44+00:00,6
UgyfxXbR0jvZnhjnmk14AaABAg,@alexandromendez36,"Pues los Shorts explicando cosas útiles y simples no pasan de moda, por ejemplo:<br><br>El short de Nvidia, de que GPU para cada resolución.<br>O el video de Diferencias entre Asus Prime, TUF, Astral.<br>Etc<br><br>Para videos largos, por ejemplo: Poner 2 Set Up iguales de componentes pero cambiando el case para comparar temperaturas o cosas similares en otras áreas.",5,0,2026-05-17 20:35:31+00:00,5
UgyE9PAqFj0lKgrOGUN4AaABAg,@angelpenalver3081,Pc dedicado a la realidad virtual,4,0,2026-05-18 10:44:57+00:00,4
UgxvMx9hoTN17RlEO2Z4AaABAg,@unaxx-s1x,"la idea de wallapop me parece muy interesante, la de los set-ups tambien, la de hardware chinorro es buena, la de el pc mas pequeño y posible tambien y la de visitar equipos competitivos y creadores tamb🌹<br><br>y regalarme un pc eso ya es mundial😏",4,0,2026-05-17 19:05:12+00:00,4
Ugx8ifckwS8kj35NyJl4AaABAg,@donii4492,Todas las ideas!! Tambien quiero mas anecdotas anecdotas,3,0,2026-05-17 20:12:47+00:00,3
UgyMxAtgQUp_iRc1ixx4AaABAg,@delacroxy,"promocionar Rams baratas xd, se hacen virales xd",3,0,2026-05-17 18:56:30+00:00,3
UgwQcHJj6PS-YHfX8ud4AaABAg,@CERBERO_74,"Habláis mucho de las nuevas plataformas y muchos no podemos acceder a esas plataformas, yo uso la plataforma AM4 con mi Ryzen 7 5800X una gráfica 3060 de 8 gigas y 16 gigas de RAM, juego en world of tanks en el servidor ruso tengo mi canal de Youtube, porque no hacéis videos de como aprovechar estos pc antiguos y sacarle el máximo rendimiento.",3,1,2026-05-17 20:41:38+00:00,5
UgziddBsY33RuPfChW54AaABAg,@scketch3d64,"Algo que me encantaría ver, principalmente en español, es más análisis de sistemas profesionales. El tema del gaming y todo eso está bien, pero ya está muy quemado, hay millones de videos que hablan lo mismo, pero si quieres ver, por ejemplo, rendimiento bruto de GPUs profesionales, no hay o lo poco que consigues son en inglés. Comparativas, por ejemplo, juegos. Muchos somos profesionales del diseño y también jugadores, pues nos gustaría ver qué tal los equipos profesionales en esa área. Que sí, que no están montados para eso, pero nos encanta verlo, saber cómo se va a comprar un PC profesional tanto en juego como en áreas de diseño o incluso pagarle a un ingeniero para probar software de ingeniería como análisis FEM y CFD (Por Dios que serían los únicos en todo YouTube que lo tendrían).",3,0,2026-05-17 21:59:54+00:00,3
UgwrcL15KwTM9eHreqd4AaABAg,@rodrigochicagarcia8901,Me parece muy interesante esa idea de los premontados,2,0,2026-05-17 19:58:02+00:00,2
UgwxnAta98ti1NtF4yd4AaABAg,@RedPlayIsBack,"DIY, Homemade, todo lo &quot;a mano&quot; es atemporal, moddings etc",2,0,2026-05-17 19:44:51+00:00,2
Ugy7I8d5CPoNDerlJGB4AaABAg,@LaNutriaTulona,"hacer ensambles de high end y low end, esos videos funcionan bien o videos de componentes de segunda mano, los &quot;cheap&quot; pc. Un saludo, buen videillo.",2,0,2026-05-17 18:54:36+00:00,2
UgyAPHC_m3pqZzjOjeB4AaABAg,@rubenmn_tr,"Vuestro canal me encanta, cualquier idea que tengan las voy a ver, sobre todo por raul que tiene mucha carisma y me paso muy bien viendo los videos, en lo personal me gustaria que incursionaran un poco mas en el mundo de la productividad, edicion de video, programacion, musica etc.",2,0,2026-05-17 23:53:04+00:00,2
UgwzM3ZreXGeWuZNxAJ4AaABAg,@AlexeiFerrerNuñez,"RAULLLLL me gustan muchos tus videos, no me pierdo ni uno y para mi Epical -Q es uno de los mejores canales de PC y Hardware que existe en el mundo actualmente.",2,0,2026-05-17 19:35:23+00:00,2
UgxdLZj-rcs0BF0OX3h4AaABAg,@Edward_FST,"Desde que los conocí a finales del año pasado me engancho el carisma y actitud que tienen en el canal, ojalá puedan tomar buenas ideas que se que sabrán hacerlas con su estilo, los seguiré esperando cada domingo ;)",2,0,2026-05-17 19:25:47+00:00,2
UgykcoAH4pQBeZ-6OmB4AaABAg,@rart31,"El motivo por el que me quede a ver sus videos es porque no hay algo igual, pese a que hay canales de tecnologia que teoricamente mencionan lo mismo que ustedes la crudeza y realidad que viene de la experiencia de un ensamblador es genial, la forma en la que hacen los videos me recuerda a cuando el yanpol recien empezo armando sus pc, a mi me gustan las ideas 1,2,3,4,8,9 por funcionar como guias, testeo de limites, tal vez algun benchmark caeria bien asi como los conceptos que son misterios como por ejemplo la certificacion 80 que hay gente que cree que va a generar menos de lo que es la fuente en lugar de usar mas energia para compensar la perdida en calor para surtir lo que dice la fuente.<br><br>Eso de responder preguntas a los miembros del canal suena bien para interactual con la gente, que sea para miembros puede limitar a ciertas personas pero es la mejor manera de no tener 100k en los comentarios que se vuelve imposible de manejar.<br><br>Eso de ir a ver setups ajenos suena genial siempre y cuando los pc y sus componentes sigan siendo las estrellas, que esta bien hablar de perifericos pero los componentes es la auntentica chicha del ensamblamiento de pc.<br><br>Eso del tarkov suena genial XD jajaja.<br><br>Lo de ir a eventos y talleres no tengo opinion pues ni estoy en el mismo continente jeje pero suena genial para los iniciados y juntar a la comunidad.<br><br>Un versus laptop vs pc con los mismo componentes estaria bueno.<br><br>Una colab de vez en cuando no cae mal.",2,0,2026-05-17 19:31:09+00:00,2
UgyFqwZPU4K5dibU9Fd4AaABAg,@erce-cazabuelas,Yo os compre mi ordenador hace 2 meses por vuestros videos y cercania,2,0,2026-05-18 08:42:16+00:00,2
