video_id,title,description,published_at,tags,duration_sec,is_short,view_count,like_count,comment_count,thumbnail_url,video_url,year,month,month_name,day_of_week,day_name,week_of_year,engagement_rate,like_rate,comment_rate,performance_tier,title_word_count,title_char_count
2s8KgYcDwG8,No sabemos qué hacer con el canal...,"Las mejores ofertas: https://epical-q.com/ ¿Y si esta vez el vídeo lo decidieras tú? En el sector del gaming y la informática está todo más visto que el TBO: mismas reviews, mismas promos, mismos vídeos clónicos y el mismo contenido reciclado de siempre. Así que hemos parado un momento, nos hemos sentado a pensar y hemos llegado a una conclusión bastante simple: si vosotros sois los que veis el canal, también deberíais decidir qué queréis ver en él. En este vídeo te contamos varias ideas loca",2026-05-17 18:49:55+00:00,,1877,False,10570,1181,275,https://i.ytimg.com/vi/2s8KgYcDwG8/maxresdefault.jpg,https://www.youtube.com/watch?v=2s8KgYcDwG8,2026,5,May,6,Sunday,20,13.775,11.173,2.602,Bajo,7,37
rF8jxRiNqr8,Tierlist Cajas de PC - Mejores Gabinetes para Ordenador Gaming 2026,"Las mejores ofertas: https://epical-q.com/ Las cajas de PC son muchísimo más importantes de lo que parece. Y sí: una mala caja puede convertir un PC de alta gama en una auténtica estufa con thermal throttling, ruido, mal flujo de aire y componentes trabajando peor de lo que deberían. En este vídeo nos metemos de lleno en un tier list de cajas de PC con un montón de modelos que he montado, probado o tenido delante: cajas baratas, peceras, doble cámara, triple cámara, cajas premium, cajas microA",2026-05-10 20:36:17+00:00,,3456,False,14609,842,167,https://i.ytimg.com/vi/rF8jxRiNqr8/maxresdefault.jpg,https://www.youtube.com/watch?v=rF8jxRiNqr8,2026,5,May,6,Sunday,19,6.907,5.764,1.143,Medio,11,67
OYoFSe56Oic,El Día a Día en una Fábrica de PCs Gaming en España,"Si te gusta la informática y quieres saber cuál es el recorrido que hacen un montón de componentes hasta que acaban en un ordenador, te vamos a explicar desde dentro la historia de Epical-Q. Te mostramos cada departamento y te explicamos los entresijos de la empresa que está conquistando tu corazón. Y si quieres una buena silla Usa el código y disfruta de un 5% de descuento exclusivo E3PRO: Enlace del producto a la web oficial: https://bit.ly/3PTp525 code: E3WPEPIC Enlace del producto de Amaz",2026-05-03 17:45:00+00:00,"informatica, hardware, tutoriales, ram, gaming pc build",734,False,27824,1780,120,https://i.ytimg.com/vi/OYoFSe56Oic/maxresdefault.jpg,https://www.youtube.com/watch?v=OYoFSe56Oic,2026,5,May,6,Sunday,18,6.829,6.397,0.431,Medio,12,51
8-WWEAPwQyM,PC Roto por el POLVO,PC Roto por el POLVO ¿Qué piensas tú? Tiene garantía este PC o mejor no El polvo acumulado durante años puede hacer que tu ordenador deje de funcionar como ha ocurrido con este. Te recomendamos que de vez en cuando le hagas una limpieza para no llegar a este extremo.,2026-04-26 18:26:10+00:00,,66,False,15863,924,27,https://i.ytimg.com/vi/8-WWEAPwQyM/maxresdefault.jpg,https://www.youtube.com/watch?v=8-WWEAPwQyM,2026,4,Apr,6,Sunday,17,5.995,5.825,0.17,Medio,5,20
8FmhL1u20kM,Tengo 100.000€ en PCs encima de la mesa… y no son para jugar,"Las mejores ofertas: https://epical-q.com/ ¿Te imaginas tener 100.000€ en PCs encima de una mesa? Pues justo eso es lo que enseñamos hoy. 😈 En este vídeo te enseñamos 3 ordenadores profesionales brutales que hemos montado para empresa y que no tienen nada que ver con el típico PC gaming con lucecitas. Hablamos de máquinas para: audiovisual multipantalla streaming y captura profesional IA, LLM y computación virtualización workstations enterprise extremas Vas a ver desde un equipo de 30.000€, p",2026-04-26 18:00:00+00:00,,705,False,33459,1413,109,https://i.ytimg.com/vi/8FmhL1u20kM/maxresdefault.jpg,https://www.youtube.com/watch?v=8FmhL1u20kM,2026,4,Apr,6,Sunday,17,4.549,4.223,0.326,Medio,13,60
tdZkr9BxXnU,Cuidado con las gangas en RAM.,Cuidado con las gangas en RAM.,2026-04-19 18:39:13+00:00,,92,False,39280,782,8,https://i.ytimg.com/vi/tdZkr9BxXnU/maxresdefault.jpg,https://www.youtube.com/watch?v=tdZkr9BxXnU,2026,4,Apr,6,Sunday,16,2.011,1.991,0.02,Medio,6,30
EXMCS_UP7xY,Todo Sobre Cajas de PC - Elige tu Gabinete Según Componentes,"Las mejores ofertas: https://epical-q.com/ ¿No paras de ver cajas, gabinetes y setups espectaculares pero no tienes claro cuál te conviene de verdad? Entonces este vídeo te interesa. 😈 Hoy hacemos una guía sencilla y sin humo sobre tipos de cajas para PC: qué formato necesitas, qué caja tiene sentido según el ordenador que vayas a montar y en qué casos estás tirando el dinero por pura estética. En este vídeo repasamos: diferencias entre formatos de placa, cajas básicas monocámara, cajas gamin",2026-04-19 18:00:00+00:00,,925,False,13530,1037,117,https://i.ytimg.com/vi/EXMCS_UP7xY/maxresdefault.jpg,https://www.youtube.com/watch?v=EXMCS_UP7xY,2026,4,Apr,6,Sunday,16,8.529,7.664,0.865,Medio,11,60
p7i8VurQE2M,Anecdotas de PCs gaming con Expediente X,Anecdotas de PCs gaming con Expediente X,2026-04-14 18:19:58+00:00,,67,False,28340,2029,16,https://i.ytimg.com/vi/p7i8VurQE2M/maxresdefault.jpg,https://www.youtube.com/watch?v=p7i8VurQE2M,2026,4,Apr,1,Tuesday,16,7.216,7.159,0.056,Medio,7,40
XhG0J45xGZ0,Historias de Informático para Mear y no Echar Gota,"Las mejores ofertas: https://epical-q.com/ Si has trabajado en soporte técnico, reparación de PCs o simplemente has sido “el informático” de tu familia… este vídeo te va a tocar el alma. 😈 Hoy inauguramos una nueva serie: Expedientes Karen, una recopilación de historias reales, incidencias absurdas y momentos surrealistas del soporte remoto informático. 👇 Pregunta seria: ¿Quieres más vídeos de Expedientes Karen? Y si tú has trabajado de técnico, soporte, tienda de informática o algo parecido…",2026-04-12 17:30:00+00:00,,989,False,19727,1526,134,https://i.ytimg.com/vi/XhG0J45xGZ0/maxresdefault.jpg,https://www.youtube.com/watch?v=XhG0J45xGZ0,2026,4,Apr,6,Sunday,15,8.415,7.736,0.679,Medio,9,50
-_uyQ30WVDE,Tierlist de tarjetas gráficas para PCs Gaming,Tierlist de tarjetas gráficas para PCs Gaming,2026-04-08 19:09:57+00:00,,136,False,234531,11597,482,https://i.ytimg.com/vi/-_uyQ30WVDE/maxresdefault.jpg,https://www.youtube.com/watch?v=-_uyQ30WVDE,2026,4,Apr,2,Wednesday,15,5.15,4.945,0.206,Viral,7,45
